campaign_id,campaign_name,channel,start_date,end_date,impressions,clicks,conversions,spend,revenue,ctr,conversion_rate,roas,audience_segment,geo_location,device_type,timestamp
camp_001,Summer Sale 2025,email,2025-07-01,2025-07-15,50000,2500,125,1500.00,6250.00,5.0,5.0,4.17,millennials,US-West,mobile,${timestamp}
camp_002,Product Launch Campaign,social,2025-07-05,2025-07-20,75000,3750,188,2250.00,9400.00,5.0,5.0,4.18,gen_z,US-East,desktop,${timestamp}
camp_003,Back to School Promotion,paid_search,2025-07-10,2025-07-25,40000,2000,80,1200.00,4000.00,5.0,4.0,3.33,gen_x,US-Central,mobile,${timestamp}
camp_004,Flash Weekend Sale,email,2025-07-12,2025-07-14,25000,1500,90,800.00,3600.00,6.0,6.0,4.5,millennials,US-West,desktop,${timestamp}
camp_005,New Customer Acquisition,display,2025-07-08,2025-07-22,100000,3000,150,3000.00,7500.00,3.0,5.0,2.5,gen_z,US-South,mobile,${timestamp}
camp_006,Retargeting Campaign,display,2025-07-01,2025-07-31,60000,4200,210,1800.00,10500.00,7.0,5.0,5.83,millennials,US-East,desktop,${timestamp}
camp_007,Brand Awareness Drive,social,2025-07-03,2025-07-17,80000,2400,96,2400.00,4800.00,3.0,4.0,2.0,gen_x,US-West,tablet,${timestamp}
camp_008,Holiday Preview,email,2025-07-15,2025-07-30,45000,2700,162,1350.00,8100.00,6.0,6.0,6.0,baby_boomers,US-Central,desktop,${timestamp}
camp_009,Mobile App Promotion,social,2025-07-05,2025-07-19,35000,2100,105,1050.00,5250.00,6.0,5.0,5.0,gen_z,US-South,mobile,${timestamp}
camp_010,Cross-sell Campaign,email,2025-07-07,2025-07-21,55000,3300,198,1650.00,9900.00,6.0,6.0,6.0,millennials,US-East,desktop,${timestamp}