transaction_id,customer_id,product_id,product_category,quantity,unit_price,transaction_date,store_location
TXN001,CUST001,PROD001,Electronics,2,299.99,2024-01-15,New York
TXN002,CUST002,PROD002,Clothing,1,89.50,2024-01-15,Los Angeles
TXN003,CUST001,PROD003,Electronics,1,1299.99,2024-01-16,New York
TXN004,CUST003,PROD004,Home,3,45.00,2024-01-16,Chicago
TXN005,CUST002,PROD001,Electronics,1,299.99,2024-01-17,Los Angeles
TXN006,CUST004,PROD005,Clothing,2,125.00,2024-01-17,Miami
TXN007,CUST003,PROD002,Clothing,4,89.50,2024-01-18,Chicago
TXN008,CUST005,PROD006,Electronics,1,899.99,2024-01-18,Seattle
TXN009,CUST001,PROD007,Home,2,67.50,2024-01-19,New York
TXN010,CUST004,PROD003,Electronics,1,1299.99,2024-01-19,Miami
TXN011,CUST006,PROD008,Clothing,3,79.99,2024-01-20,Boston
TXN012,CUST005,PROD009,Home,1,189.99,2024-01-20,Seattle
TXN013,CUST007,PROD010,Electronics,2,449.50,2024-01-21,Phoenix
TXN014,CUST002,PROD011,Home,4,29.99,2024-01-21,Los Angeles
TXN015,CUST008,PROD012,Clothing,1,199.99,2024-01-22,Dallas
TXN016,CUST003,PROD013,Electronics,1,699.99,2024-01-22,Chicago
TXN017,CUST009,PROD014,Home,2,149.50,2024-01-23,Denver
TXN018,CUST001,PROD015,Clothing,1,259.99,2024-01-23,New York
TXN019,CUST010,PROD016,Electronics,3,99.99,2024-01-24,Atlanta
TXN020,CUST004,PROD017,Home,1,379.99,2024-01-24,Miami
TXN021,CUST011,PROD018,Clothing,2,149.99,2024-01-25,Portland
TXN022,CUST006,PROD019,Electronics,1,1599.99,2024-01-25,Boston
TXN023,CUST012,PROD020,Home,5,19.99,2024-01-26,Las Vegas
TXN024,CUST007,PROD021,Clothing,1,399.99,2024-01-26,Phoenix
TXN025,CUST013,PROD022,Electronics,2,229.99,2024-01-27,San Diego
TXN026,CUST008,PROD023,Home,3,89.99,2024-01-27,Dallas
TXN027,CUST014,PROD024,Clothing,1,179.99,2024-01-28,Houston
TXN028,CUST009,PROD025,Electronics,1,549.99,2024-01-28,Denver
TXN029,CUST015,PROD026,Home,2,269.99,2024-01-29,Minneapolis
TXN030,CUST010,PROD027,Clothing,4,49.99,2024-01-29,Atlanta